50 deviation,90 deviation,130 deviation,type,participant
-13.170067053517329,-12.674797576118273,-15.55859206667936,active,ab_1905
-10.9264024676652,-16.807082781322304,-16.486381261515707,active,ac_2605
-13.086763115763889,-24.756614946255134,-24.040246851765044,active,ah_2505
0.5594033280493047,2.050217698261049,-0.6914908144000833,active,ca_0205
-4.934148752227792,-6.9851636619212805,-7.42380587223543,active,cl_1105
-12.171073070662949,-10.267389752292063,-11.187351423767003,active,dp_2005
-14.355785302205323,-11.240676404304338,-6.918848645013769,active,dr_2705
4.680997469081843,-6.564593236611929,-9.636385197812713,active,hf_1805
2.5819759706377656,1.7556239561794666,0.002678386133039723,active,ho_2405
-10.959813185294625,-8.95249681196838,-3.0593206317608814,active,hr_1305
-20.51105637577833,-5.570344233073757,-3.0130425184764356,active,jm_2605
-9.543051049805232,-9.806001554382286,-16.04744755984192,active,jw_2505
-5.568245699906498,-3.6189905145230554,-12.934429247449694,active,ka_1905
10.356305153405863,4.425682381604112,-2.6989650600485007,active,mi_1905
-16.090351302002183,-22.35068069820634,-24.33503600229282,active,mr_2405
-10.311806203561556,-8.553404485959035,-20.889870984471887,active,ns_1905
-7.655287566662395,-15.582944545633971,-21.220310147891134,active,ps_1705
-13.610869974424187,-13.096403729198496,-8.228888630796376,active,ra_2505
-19.84789578353577,-11.469688310445344,-13.533254827323628,active,sj_1805
-5.924492519815377,-10.115339725281954,-4.351230814870357,active,sk_1705
-7.895747256324327,-9.82708449274434,-10.9470220220766,active,so_2405
