50 deviation,90 deviation,130 deviation,type,participant
7.910508613092448,-1.3798872006542577,-0.949534765407007,active,ag_0906
-1.30250191575601,-6.923998857306153,-0.12285028119939445,active,as_1601
-11.934803402113447,-6.625462100618907,-6.108201552980808,active,ay_1506
-1.522082729360862,1.1618152389965566,-1.0762644481538302,active,az_1306
-2.22660705729929,-6.127034763704579,-7.862087550334011,active,bd_3105
-12.097860220047268,-12.761849519165324,-13.53233835144677,active,bh_1506
-5.373092927626374,-2.3183584447185677,5.129296196540206,active,cf_1706
-11.80405615256659,-13.40501379235325,-18.352130794464067,active,ec_1706
-13.211819960658346,-10.41109042040913,-11.63886320326414,active,fs_1011
-3.265862440259581,-13.197236329915116,-17.673413986792262,active,gs_3105
-4.270170126105626,-9.706564213095454,-10.361644578272232,active,ja_1606
-5.757622605934206,-8.977083416968892,-11.455161788735698,active,lw_1306
-6.3818324263317585,-13.997282616131047,-9.837062468743532,active,ma_1506
-8.763886590822576,-11.188272943466753,-8.177502390934778,active,na_1601
-14.309159867892511,-10.327443040467301,-17.91397180492275,active,nj_1406
-1.8520284878479671,-2.064752618470908,0.4512865821757055,active,pa_0416
-3.7009308459677435,-6.886664858805478,-11.608912482335572,active,pe_0416
-10.26849322814444,-11.267140241034298,-5.79972300499199,active,sa_1406
-2.797503151795283,-7.636279623394595,-8.061085436050451,active,sm_1601
-7.9557093510700465,-3.227437677544481,1.6502657879740301,active,zw_2609
