50 deviation,90 deviation,130 deviation,type,participant
-3.9882554188842025,-16.66550505658013,-15.953934223128538,active,ag_0906
5.129581192775492,-3.6651173228694964,0.9568626729388635,active,as_1601
-13.507732603704806,-10.463154225123773,1.0323845220279768,active,ay_1506
-4.420009049904475,-4.100972854402665,0.20534067827173508,active,az_1306
-19.57311815871309,-15.910062517824105,-3.7705319968817763,active,bd_3105
-13.254200290170317,-15.544996412440023,-12.055288941085868,active,bh_1506
-21.868399590500047,-11.12750665450412,-2.2383436097575764,active,cf_1706
-9.161152642817465,-6.331673501732621,-9.4209979073816,active,ec_1706
-8.988637421606073,-13.252878640774002,-9.819958289378603,active,fs_1011
-0.8362775967904218,-3.829998953103145,-8.802784498808434,active,gs_3105
-23.1759163570106,-17.775079210410006,-6.395661766154303,active,ja_1606
-3.9363360155801153,-10.126652164716694,-20.94285736035321,active,lw_1306
-19.09213106632145,-16.93796578062808,-7.91598764972689,active,ma_1506
-8.408128104448178,-15.00586700431211,-22.095768818513058,active,na_1601
-31.044780123367715,-20.255019785987795,-4.950045776123261,active,nj_1406
-10.09033617111156,-5.957860051507407,-3.0331995265277345,active,pa_0416
-12.232178195495313,-18.433081120589435,-25.18477073398745,active,pe_0416
-14.792908177510864,-9.732760481963009,-2.754004470531771,active,sa_1406
-13.424245438186473,-21.707282007318135,-15.129955897962017,active,sm_1601
-8.388335286137591,1.3816927364014984,11.054556214616209,active,zw_2609
