participant,exclusive,inclusive,awarenessRatio,active_means,prop_means,pred_means,awareness_score
ag_0906,16.768309010559573,18.26093119009164,0.5213053747523806,1.8603622156770607,1.9253276759819522,-0.06496546030489148,3
as_1601,13.344839792892751,10.392269238604966,0.4378068628667057,-2.783117018087186,-0.9605791633402694,-1.8225378547469164,1
ay_1506,15.76473283094073,16.005620964317046,0.5037910835826492,-8.222822351904389,-7.756940076977813,-0.4658822749265763,0
az_1306,8.086715575361994,11.851368352666421,0.5944085898849132,-0.4788439795060451,-1.573789402627317,1.0949454231212719,0
bd_3105,16.202239012585007,7.389166434764872,0.3132143377916015,-5.405243123779293,-2.2406907859230976,-3.1645523378561955,1
bh_1506,13.046141830457769,26.70233246917573,0.6717825763043674,-12.797349363553119,-13.712049393462678,0.9147000299095591,3
cf_1706,10.416001513967267,14.25517066469216,0.577806784430895,-0.854051725268245,-4.147091776136841,3.2930400508685955,1
ec_1706,19.44133966201728,23.124655590511605,0.5432659439376728,-14.520400246461302,-15.752622341670829,1.2322220952095275,3
fs_1011,14.35703586460009,15.931289455890195,0.5259877952087549,-11.75392452811054,-8.920450730226866,-2.8334737978836735,1
gs_3105,19.278570062796717,14.092729783212464,0.42230089472819227,-11.378837585655653,-9.765927725021065,-1.6129098606345877,1
ja_1606,20.726691959982425,20.62831732880286,0.4988106080391301,-8.112792972491105,-7.051533692063327,-1.0612592804277785,1
lw_1306,12.973930310883851,15.756008338396445,0.548417750930044,-8.729955937212933,-7.367202917128901,-1.3627530200840328,0
ma_1506,14.83476103010627,10.125245789061722,0.40565877495217895,-10.072059170402111,-6.939072039166113,-3.132987131235998,1
na_1601,16.47878720916269,20.21873691095287,0.5509564308691353,-9.376553975074701,-5.408545501085612,-3.968008473989089,1
nj_1406,19.778088128079077,25.916469804227773,0.5671675354124474,-14.18352490442752,-7.08257690301163,-7.100948001415889,1
pa_0416,4.556019172748309,3.378035638102274,0.4257640914557945,-1.1551648413810567,-2.5202496899350173,1.3650848485539606,0
pe_0416,14.632737060470172,12.808640069883904,0.4667637491019254,-7.398836062369598,-3.4115022887523487,-3.987333773617249,1
sa_1406,14.505668321025148,13.98448234412042,0.4908532253298621,-9.111785491390242,-4.799795459828716,-4.311990031561526,1
sm_1601,15.084246358108878,11.255014526605699,0.4273094289117773,-6.164956070413442,-4.0125627108216495,-2.152393359591793,1
zw_2609,8.220870544866493,36.65757781480779,0.8168191894920015,-3.177627080213499,-2.5741582708763975,-0.6034688093371017,1
