participant,block1mean,block2mean,block3mean,block4mean,finalblockmean,instruction,rotationSize
ag_0906,-2.2285745094945923,15.360695354514833,14.250097971686257,20.477844857442985,26.21054489870176,non-instructed,30
as_1601,5.5700147419610735,14.217227288815117,7.834771669015872,28.05782331164494,29.04951487518236,non-instructed,30
ay_1506,-2.712381937006979,13.477189536052117,17.95570104230295,30.636317494405613,25.053893317739327,non-instructed,30
az_1306,-6.164872117915948,20.913797707200434,20.20172499227901,12.3628505104247,17.800905925391785,non-instructed,30
bd_3105,3.1760313656329555,9.327915160154477,16.01783611633635,11.93755646243487,25.13153430238713,non-instructed,30
bh_1506,2.3343592511701012,4.921210817738365,12.987447623265146,15.618267161406237,20.306571900946043,non-instructed,30
cf_1706,7.414002901616779,-7.558742671290013,-1.4269095704419819,-0.02998085665403553,26.681862962882462,non-instructed,30
ec_1706,14.83918580452387,17.20517329867111,34.14498448187711,17.273898160811928,22.22823334323016,non-instructed,30
fs_1011,1.720312754201429,8.58591980574108,9.740002084748342,15.877440868798748,22.885245233292675,non-instructed,30
gs_3105,7.919743060221513,28.532553256560345,18.603446128064764,17.294405896601912,32.55099327030433,non-instructed,30
ja_1606,3.8824390520627925,4.2276727131348,16.417464822548492,1.7307506773781725,27.400591950350815,non-instructed,30
lw_1306,12.441411500556958,8.743190582455851,30.118558402100707,27.793795861570743,20.6294905062867,non-instructed,30
ma_1506,1.6044697353971553,2.0585049521519987,1.3737261748930472,0.6651096128573553,17.485979628347124,non-instructed,30
na_1601,6.42073455413997,20.346664171752494,16.126051514901324,18.30479394575695,23.189508839784715,non-instructed,30
nj_1406,-0.3117885272560272,5.935731898080465,13.840182190306152,29.035115820126205,27.0350632382065,non-instructed,30
pa_0416,7.684283002693195,25.976557716289864,25.132802617419753,33.31363383694391,35.15198257421282,non-instructed,30
pe_0416,19.477146225510367,18.14310779561388,22.50729507583776,22.826690930306643,23.295197655838408,non-instructed,30
sa_1406,0.01235266883268397,20.941525528460318,20.93500981142915,24.549121727812746,24.138711623134142,non-instructed,30
sm_1601,19.03587858958149,23.273180078314397,23.736038517207273,21.688183165110228,30.35660644731289,non-instructed,30
zw_2609,0.5454596260392902,6.766232704670301,7.5493613841017995,18.786175160483044,28.29619195228359,non-instructed,30
ab_1905,30.681930485910875,18.58444316357863,16.794903349286415,18.953450058930315,22.82423688698134,instructed,30
ah_2505,37.46106563525855,14.752135890339744,18.23918919600023,22.079182828454453,29.72164202941918,instructed,30
ca_0205,18.25704623952107,11.928404288647938,19.67743966658314,26.31761364610972,20.0926597465778,instructed,30
cl_1105,17.373360545866166,13.821236008274619,21.906091267174602,19.068851345570184,26.835872191539686,instructed,30
dp_2005,22.462597654069395,18.756916285891375,17.12322885142565,18.906401069914747,27.609023931451173,instructed,30
hf_1805,13.460917015129382,29.120813114433943,22.644946431532276,23.137045738148856,28.344252823269674,instructed,30
ho_2405,20.63349991684613,19.604025737471186,25.788735757697694,20.208334484767935,27.14368743138064,instructed,30
hr_1305,12.405023482984882,17.074003213542685,17.397599199165267,13.021785108214708,28.833071998480914,instructed,30
jm_2605,33.47431837189292,19.35958253955823,21.659384005694676,19.414073338940174,23.01887569206513,instructed,30
jw_2505,15.904705064880178,20.028714760370715,20.138433775029515,22.638486062056256,25.86051879328979,instructed,30
ka_1905,20.973745838974114,26.94787551633151,26.479860602222757,35.976948321969026,29.575409119842732,instructed,30
mi_1905,23.090739420608852,20.94275450708709,13.492366026413945,22.616959745486415,28.292764362072916,instructed,30
mr_2405,1.8636470705632762,17.89499435369371,15.38869830994968,15.659797716775302,24.288218254487628,instructed,30
ns_1905,21.234159750586663,19.727838819474304,24.289974424354075,17.258547146223027,22.901042461206934,instructed,30
ps_1705,12.717808754997952,33.45510503517801,24.829481122600928,42.60304258006963,23.581485981255916,instructed,30
ra_2505,24.713139238314007,19.92457584748809,17.747314965237468,32.196392966785034,24.389640531943677,instructed,30
sj_1805,15.372232638690699,15.008565263130897,18.144131163598427,26.452735346399752,21.9088947608403,instructed,30
sk_1705,25.625096031364624,35.18227182661388,29.22824576889712,17.577565291735343,28.490873329947647,instructed,30
so_2405,34.53323143260847,21.92570784029893,24.336094361026174,26.01253990250548,27.97783328930835,instructed,30
ad_0206,19.659916639796492,43.38152457122809,56.103026753244045,54.43935056496836,44.43712967569952,non-instructed,60
ap_0106,27.644930629815317,58.01656553597704,30.177996708927353,29.904770121754563,48.046294927964546,non-instructed,60
cg_2206,8.268798199004618,54.033051263367256,42.30721506793789,60.17296048055258,52.378001365884685,non-instructed,60
dd_1506,38.58005548867806,30.56090498121803,28.68251765762227,22.28657406691214,54.61163229783406,non-instructed,60
ej_2106,-2.4349038416490196,20.865202295200444,70.628447677099,59.69510903537347,54.32426578712503,non-instructed,60
ho_1406,11.299039890355788,28.907772466977974,27.262294671805737,29.44984650791962,51.11200912167958,non-instructed,60
id_1105,34.280370093509795,46.14267793520099,28.117854313685722,32.58651547635386,41.74066320061195,non-instructed,60
jl_1406,11.283251411073792,31.24414823796771,43.95790384902381,50.194158274649304,51.20925161154188,non-instructed,60
mb_1205,29.310910536504412,37.20615824415105,62.18887708088214,49.12295184826346,66.47450396639812,non-instructed,60
mc_0806,13.29649118255095,17.354847482470536,33.44860883493592,18.43380456111584,33.75653746851735,non-instructed,60
nb_1505,-10.874342743089011,-2.7889944894523873,1.7733567034341415,-9.938105261362603,53.97952454279168,non-instructed,60
pb_2306,9.983739477139347,21.53237506810233,42.13985532327888,51.61721376966752,48.37007643574692,non-instructed,60
rd_3105,17.78040680997311,9.973078562131702,17.138876112940828,31.11423082186394,46.29593791983333,non-instructed,60
sc_0106,38.85984406415281,35.84648744466611,36.06864962492344,27.958409317673144,48.42582244780364,non-instructed,60
sh_1005,5.639224404656709,47.03249949259905,47.147274449725124,48.31869940652081,41.308088998175826,non-instructed,60
ss_1005,3.666307596215081,34.839992308129716,27.912616940718575,28.009185290023073,49.11411837616756,non-instructed,60
ss_2505,34.3881656504024,16.841880306459416,14.237764948859159,20.142225432758046,43.9684992011628,non-instructed,60
ts_1505,6.62541358923708,49.37945933295525,64.3156505072264,48.94542034393652,57.35103394351919,non-instructed,60
ud_2605,-15.051119071653469,26.727583138372356,34.6824785039539,35.766598375576315,43.04601206301323,non-instructed,60
yl_1005,-7.009242256759293,11.92046641738789,21.359324411359808,19.986550304137236,37.81635252424848,non-instructed,60
ag_1606,60.44193234166312,72.33359785516717,64.75572510484734,63.364300968253986,65.15004268000195,instructed,60
ak_0106,59.74957844513972,66.19186287048792,61.244835747571415,49.62028751878271,57.57727254222847,instructed,60
ap_1705,63.99672127860191,62.32362544505926,70.57197330423104,69.48203226196041,61.32254488082712,instructed,60
at_1605,49.041755816513074,51.587351883683915,56.20941435325838,65.39564671039493,53.12302111826745,instructed,60
bg_0705,21.97250935717496,27.862078514643827,15.751095713609606,33.80747907052235,40.4850297510357,instructed,60
cn_2205,50.35162758812693,58.13413290666866,61.7659449353919,67.38506369424545,59.290772283377386,instructed,60
da_1505,57.247217709655274,16.401352698540478,24.426367246375364,34.407997265072176,51.150962298279644,instructed,60
fm_1406,56.26724212399707,69.6390929109562,59.26417369547308,52.639003303019784,53.76084644290094,instructed,60
he_0906,58.65449901346158,38.17362559797349,48.030703359561834,67.0122288329192,55.55422778441168,instructed,60
im_1705,15.905383554438599,41.56684876266174,37.6158712265321,39.640841569416985,46.17417518539922,instructed,60
mb_0206,51.40095294523015,57.34974677154049,48.09097541099893,73.11142594638245,57.00550888986488,instructed,60
mp_0906,30.302671785418482,69.90660694614884,54.1582589692606,58.19589901423876,51.54093890714748,instructed,60
mw_0706,67.9379890831258,54.94737695129627,56.4985608341864,47.895088773940614,50.073257628615266,instructed,60
nj_3105,47.75431955791728,55.219630281883916,49.489484483462384,40.869393993128675,54.211423241696615,instructed,60
ns_2405,48.18663313553488,48.03682905132744,40.71972227540012,43.903773202605,53.57049435203171,instructed,60
pa_0906,19.852614216021188,43.26425664011049,53.498366037287404,48.71815682279458,62.67937635677432,instructed,60
rr_2206,-35.564568100658825,7.201518821946404,45.7653044636561,44.477048904456296,56.455064824289934,instructed,60
sa_2106,67.70080084890202,61.84469828088106,54.57780118668967,53.82546919334762,57.97663127846684,instructed,60
sd_2505,74.42175133454462,38.11189503983088,52.091095011743406,35.489190264192054,54.710401983454666,instructed,60
sm_1805,55.99496004106598,57.23152133308747,61.76098658189678,50.7389127918867,59.23066337625515,instructed,60
tp_2405,46.611499595245995,35.134106825500275,60.344117553344496,57.78914696555109,54.1159390973559,instructed,60
vb_0706,28.60453055321837,36.322052866372246,43.602614246194804,37.60099951477759,56.99320927307273,instructed,60
ym_2206,27.54161404693521,32.476166227364196,46.9106252575746,45.199796246952054,52.250808769958226,instructed,60
ys_1605,52.53468354371987,75.57889480350862,56.20176522156527,51.876186222623545,49.4091700586859,instructed,60
