filename,Age,Sex,group,version,Points
gs_3105,19,F,30implicit,ei,1.0
bd_3105,20,F,30implicit,ei,1.0
pa_0416,19,F,30implicit,ei,0.0
pe_0416,18,F,30implicit,ie,1.0
na_1601,18,F,30implicit,ie,1.0
sm_1601,27,F,30implicit,ie,1.0
as_1601,18,F,30implicit,ei,1.0
ag_0906,20,M,30implicit,ie,3.0
az_1306,20,F,30implicit,ei,0.0
lw_1306,27,F,30implicit,ie,0.0
nj_1406,21,F,30implicit,ei,1.0
sa_1406,23,F,30implicit,ie,1.0
ay_1506,18,M,30implicit,ei,0.0
bh_1506,19,M,30implicit,ie,3.0
ma_1506,20,F,30implicit,ei,1.0
ja_1606,18,M,30implicit,ie,1.0
cf_1706,22,F,30implicit,ei,1.0
ec_1706,22,M,30implicit,ie,3.0
fs_1011,19,F,30implicit,ei,1.0
zw_2609,18,M,30implicit,ie,1.0
ca_0205,26,M,30explicit,ie,3.0
cl_1105,24,F,30explicit,ie,3.0
hr_1305,19,F,30explicit,ei,3.0
sk_1705,25,F,30explicit,ie,3.0
ps_1705,21,F,30explicit,ei,3.0
sj_1805,20,F,30explicit,ie,0.0
hf_1805,19,F,30explicit,ei,3.0
ns_1905,19,F,30explicit,ie,3.0
mi_1905,19,M,30explicit,ei,3.0
ka_1905,25,M,30explicit,ie,3.0
ab_1905,18,F,30explicit,ei,1.0
dp_2005,23,M,30explicit,ie,3.0
ho_2405,22,F,30explicit,ei,3.0
so_2405,23,F,30explicit,ie,1.0
mr_2405,21,M,30explicit,ei,3.0
ra_2505,18,F,30explicit,ie,3.0
jw_2505,19,M,30explicit,ei,3.0
ah_2505,26,F,30explicit,ie,3.0
jm_2605,19,M,30explicit,ei,1.0
ac_2605,18,F,30explicit,ie,1.0
dr_2705,25,M,30explicit,ei,3.0
ss_1005,23,F,60implicit,ie,1.0
yl_1005,22,F,60implicit,ei,3.0
sh_1005,31,F,60implicit,ie,3.0
ad_0206,22,M,60implicit,ie,1.0
id_1105,22,F,60implicit,ei,1.0
mb_1205,19,M,60implicit,ie,3.0
ts_1505,20,F,60implicit,ie,3.0
nb_1505,24,M,60implicit,ei,1.0
ss_2505,18,F,60implicit,ie,3.0
ud_2605,23,M,60implicit,ei,3.0
rd_3105,19,F,60implicit,ie,3.0
ap_0106,22,F,60implicit,ei,1.0
sc_0106,23,F,60implicit,ie,1.0
mc_0806,38,F,60implicit,ei,1.0
jl_1406,21,F,60implicit,ie,3.0
ho_1406,34,F,60implicit,ei,0.0
dd_1506,19,M,60implicit,ie,1.0
ej_2106,20,M,60implicit,ei,1.0
cg_2206,30,F,60implicit,ie,3.0
pb_2306,19,F,60implicit,ei,1.0
sa_2106,18,F,60explicit,ie,3.0
da_1505,26,M,60explicit,ei,1.0
at_1605,19,F,60explicit,ie,3.0
ys_1605,23,F,60explicit,ei,3.0
im_1705,18,F,60explicit,ie,3.0
ap_1705,19,M,60explicit,ei,3.0
sm_1805,19,M,60explicit,ie,3.0
cn_2205,18,F,60explicit,ei,3.0
tp_2405,18,F,60explicit,ie,3.0
ns_2405,21,F,60explicit,ei,3.0
sd_2505,22,F,60explicit,ie,1.0
nj_3105,19,M,60explicit,ei,3.0
ak_0106,19,F,60explicit,ie,3.0
mb_0206,25,M,60explicit,ei,3.0
bg_0705,22,F,60explicit,ie,1.0
vb_0706,25,M,60explicit,ei,3.0
mw_0706,20,F,60explicit,ie,3.0
mp_0906,19,F,60explicit,ei,3.0
he_0906,18,F,60explicit,ie,0.0
pa_0906,23,F,60explicit,ei,0.0
fm_1406,22,F,60explicit,ie,1.0
ag_1606,22,F,60explicit,ei,0.0
rr_2206,21,F,60explicit,ie,3.0
ym_2206,22,F,60explicit,ei,3.0
